what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1332697701101
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1332697701101
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1332697701101
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1332697701101
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1332697701101
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1332697701101
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1332697701101
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1332697701101
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1332697701101
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1332697701101
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1332697701101
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1332697701101
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1332697701101
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1332697701101
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1332697701101
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1332697701101
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1332697701101
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1332697701101
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1332697701101
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1332697701101
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1332697701101
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1332697701101
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1332697701101
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1332697701101
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1332697701101
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1332697701101
started,bundle,net.sf.eclipsecs.core,5.5.0.201111092104,"net.sf.eclipsecs.core",1332697701101
started,bundle,net.sf.eclipsecs.ui,5.5.0.201111092104,"net.sf.eclipsecs.ui",1332697701101
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1332697701101
os,sysinfo,,,"win32",1332697701101
arch,sysinfo,,,"x86_64",1332697701101
ws,sysinfo,,,"win32",1332697701101
locale,sysinfo,,,"de_DE",1332697701101
processors,sysinfo,,,"2",1332697701101
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1332697701101
java.runtime.version,sysinfo,,,"1.7.0_03-b05",1332697701101
java.specification.name,sysinfo,,,"Java Platform API Specification",1332697701101
java.specification.vendor,sysinfo,,,"Oracle Corporation",1332697701101
java.specification.version,sysinfo,,,"1.7",1332697701101
java.vendor,sysinfo,,,"Oracle Corporation",1332697701101
java.version,sysinfo,,,"1.7.0_03",1332697701101
java.vm.info,sysinfo,,,"mixed mode",1332697701101
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1332697701101
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1332697701101
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1332697701101
java.vm.specification.version,sysinfo,,,"1.7",1332697701101
java.vm.vendor,sysinfo,,,"Oracle Corporation",1332697701101
java.vm.version,sysinfo,,,"22.1-b02",1332697701101
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1332697701398
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1332697702911
